Stazione di Calopinace - Piogge giornaliere - Anno 2022,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
GIORNO,Gen,Feb,Mar,Apr,Mag,Giu,Lug,Ago,Set,Ott,Nov,Dic
1 ,- ,34.4 ,9.6 ,13.4 ,- ,- ,- ,5.0 ,3.6 ,0.2 ,- ,12.4 
2 ,- ,6.0 ,0.2 ,2.6 ,- ,- ,- ,- ,0.8 ,- ,- ,- 
3 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,6.4 
4 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0.2 
5 ,- ,- ,3.8 ,- ,- ,- ,- ,- ,- ,- ,8.8 ,- 
6 ,- ,- ,6.8 ,- ,- ,- ,- ,- ,- ,- ,16.0 ,- 
7 ,3.4 ,4.6 ,8.4 ,14.0 ,- ,- ,- ,- ,- ,- ,0.4 ,- 
8 ,48.2 ,- ,8.4 ,- ,12.4 ,- ,1.2 ,- ,- ,- ,- ,- 
9 ,17.8 ,- ,1.4 ,- ,5.6 ,- ,0.2 ,0.6 ,- ,0.2 ,- ,0.8 
10 ,20.4 ,- ,0.8 ,1.4 ,0.6 ,39.8 ,- ,- ,- ,6.0 ,- ,22.4 
11 ,11.2 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,6.4 
12 ,- ,- ,- ,- ,- ,- ,- ,29.0 ,- ,- ,- ,1.2 
13 ,- ,- ,- ,- ,- ,- ,- ,17.8 ,- ,35.8 ,0.6 ,8.4 
14 ,- ,- ,- ,- ,- ,- ,- ,0.2 ,- ,2.6 ,- ,0.4 
15 ,- ,7.4 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
16 ,- ,33.4 ,- ,0.2 ,- ,- ,- ,- ,- ,- ,- ,- 
17 ,- ,4.2 ,- ,10.8 ,- ,- ,- ,- ,- ,- ,11.8 ,- 
18 ,- ,- ,0.2 ,3.4 ,- ,- ,- ,- ,- ,- ,- ,0.8 
19 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0.8 ,0.8 
20 ,0.2 ,- ,9.0 ,- ,- ,- ,- ,- ,- ,- ,43.2 ,- 
21 ,15.0 ,0.2 ,1.0 ,- ,- ,- ,- ,48.6 ,0.2 ,- ,30.6 ,- 
22 ,5.4 ,39.6 ,- ,- ,- ,- ,- ,- ,- ,- ,3.2 ,0.2 
23 ,0.4 ,- ,- ,- ,- ,- ,- ,12.0 ,2.0 ,- ,9.2 ,8.2 
24 ,0.2 ,- ,- ,- ,- ,- ,- ,4.6 ,- ,- ,18.4 ,0.2 
25 ,- ,- ,- ,- ,- ,- ,- ,37.2 ,- ,- ,- ,0.2 
26 ,- ,2.8 ,- ,- ,- ,- ,- ,- ,14.0 ,- ,12.0 ,- 
27 ,3.6 ,18.0 ,- ,- ,- ,- ,- ,- ,0.2 ,- ,3.4 ,- 
28 ,- ,1.6 ,- ,- ,- ,- ,- ,- ,1.0 ,- ,- ,- 
29 ,12.2 ,,- ,- ,4.6 ,- ,- ,- ,- ,- ,- ,- 
30 ,- ,,1.8 ,- ,- ,- ,- ,0.4 ,- ,- ,22.2 ,- 
31 ,0.4 ,,2.4 ,,- ,,- ,- ,,- ,,- 
TOT,138.4 ,152.2 ,53.8 ,45.8 ,23.2 ,39.8 ,1.4 ,155.4 ,21.8 ,44.8 ,180.6 ,69.0
- pioggia nulla,,,,,,,,,,,,
» : dati mancanti,,,,,,,,,,,,
